OTU_ID	sample_1544	sample_1552	sample_1827	sample_2208	sample_1800	sample_1575	sample_2147	sample_1812	sample_1811	sample_1451	sample_1300	sample_1728	sample_476	sample_1400	sample_676	sample_1663	sample_1388	sample_1495	sample_1576	sample_1284
P_56	1498035.2633679565	1385954.3920834	2222958.401039281	1669275.4122129884	2878665.8405266246	1663558.3242658984	1907375.7294415825	1657827.53733388	2066948.8630649485	2584420.7820191863	2188334.085086896	2200371.0733810626	0.0	1475167.6024745037	1894129.5156652608	2338988.928235177	2246351.4586214195	1778276.6776883376	1427366.4646502424	1850737.1274918995
P_57	1054751.4148061478	1048657.5058911196	1361734.416698919	1613738.087756022	2560418.3952249107	1327091.9608752497	1878630.344124054	2309123.1347381454	1724177.4629023557	2452159.732637964	1800425.5967932397	2181080.263892039	0.0	1475944.1709506244	1605191.4767952487	1580861.346407415	2420573.579842675	1587280.1160090412	1383224.933385444	1909817.71745952
P_58	7093694.017135997	8662425.424492031	10396939.361399995	8911799.14413714	7967954.392288817	12064774.725349903	6302337.283063587	12335274.061192073	16819826.165541355	10905835.628897464	12844530.550041672	17357204.92293751	0.0	11084675.11203362	9157615.463059071	8356106.203599996	10395568.763241945	13176449.088754544	11330501.586425977	8853994.929189427
P_59	1379035.4057723642	1803344.7576875384	1593748.3374049244	1230391.6629031908	2262076.880182456	1154419.5472736545	1858464.3779995013	1589743.6384892217	1740434.0371004397	2151456.659893814	2089353.6370039105	1878032.379131472	0.0	1429595.7781156588	1629975.7330099675	1539835.1345522774	2275532.55319051	1738680.0511644308	1569841.3396387664	2113200.6967481584
P_60	3218025.3776917914	3201005.7208414264	3475049.406103641	4169778.358095566	3964847.461554625	4589134.658156438	2296725.274435887	4116367.7418377497	5324496.966726664	4948090.800217466	4233506.961054226	4609068.964724864	0.0	4294009.748250206	4183979.674760493	2875618.005157276	4492134.395897354	4247399.912288345	3338189.150788449	2800945.309341148
P_61	2213870.53478058	2053063.757713728	2993840.3516617	2232553.591542989	3599919.141430779	2291686.63142616	2403244.368613722	3982509.8186905086	3155177.273951832	3351807.757928122	2944247.896829898	3099668.381557672	0.0	2364807.65116822	2470289.4750799323	3095533.8519538515	4465753.670575932	2454426.6941915425	2012437.3631871664	2690923.609009371
P_62	4978830.176553739	6612818.74334312	6380461.662263347	7010974.56174712	9034401.808670148	3559039.229570376	6519951.98524298	9987143.089481408	7687562.623097109	9764593.96910104	8049336.655215684	7535958.693624308	0.0	8990065.345268013	8060078.576070565	8764491.591685837	10828249.267705357	8656306.684083037	5065554.419615706	7782697.660610969
P_63	1808282.5286362816	2366649.198837032	2703124.618065499	2001175.3871105907	3704971.060252808	2368579.2432589293	2302339.1867207265	3333384.941751228	3635500.700176296	3890279.236775126	2557946.019105138	2506657.1013813163	0.0	2477037.203430372	2411169.5090043605	4537966.997966734	4739684.90450082	2205648.132278424	2086292.8844984872	2530984.341124664
P_64	1838821.823362512	1861190.63181318	3150043.322893868	2401838.92768814	3698976.343693461	2401459.790965212	2754604.4254865823	3800357.280181823	4245624.106626578	3863814.262725156	2899796.093649008	3289279.6523146275	0.0	2073806.882506117	2887431.443585884	4203231.458015927	4005617.901011996	2390291.959759793	2035989.4096566075	2990114.3103001136
P_65	1903181.3619723888	1917750.602715232	2669201.5450343885	2515678.37440761	2722316.4405714804	1962319.519169429	2796200.9204891385	3596933.762428001	3146425.7092057546	2464788.422546587	3396338.396149939	2858766.9353043074	0.0	2489713.686208396	2656160.2701432854	2612337.582339518	3507482.10329604	3028003.9219157053	2259763.1771571096	2713026.736080888
